name,description,price,category,stock
"SSD Lite","Producto de alta calidad para uso profesional",1513.26,Computadoras,112
"Webcam Max","Producto de alta calidad para uso profesional",1200.65,Audio,442
"Laptop Office","Producto de alta calidad para uso profesional",889.32,Redes,286
"Impresora Smart","Producto de alta calidad para uso profesional",596.42,Almacenamiento,450
"Monitor Lite","Producto de alta calidad para uso profesional",203.27,Perifericos,412
"Laptop Plus","Producto de alta calidad para uso profesional",1196.30,Computadoras,448
"Mouse Elite","Producto de alta calidad para uso profesional",302.70,Almacenamiento,101
"Auriculares Gaming","Producto de alta calidad para uso profesional",665.26,Computadoras,222
"Router Ultra","Producto de alta calidad para uso profesional",1656.12,Computadoras,381
"Impresora Pro","Producto de alta calidad para uso profesional",342.69,Audio,114
"Tablet Lite","Producto de alta calidad para uso profesional",671.97,Perifericos,415
"Mouse Smart","Producto de alta calidad para uso profesional",75.03,Computadoras,69
"Impresora Office","Producto de alta calidad para uso profesional",1397.63,Computadoras,287
"Teclado Premium","Producto de alta calidad para uso profesional",1649.86,Redes,224
"Router Plus","Producto de alta calidad para uso profesional",44.99,Almacenamiento,173
"Tablet Office","Producto de alta calidad para uso profesional",1159.51,Computadoras,216
"Laptop Plus","Producto de alta calidad para uso profesional",437.30,Perifericos,31
"Laptop Elite","Producto de alta calidad para uso profesional",1493.65,Redes,264
"Webcam Premium","Producto de alta calidad para uso profesional",753.44,Redes,214
"SSD Max","Producto de alta calidad para uso profesional",1655.71,Audio,37
"Tablet Office","Producto de alta calidad para uso profesional",877.53,Audio,485
"Teclado Smart","Producto de alta calidad para uso profesional",1538.70,Almacenamiento,413
"Impresora Pro","Producto de alta calidad para uso profesional",671.11,Audio,245
"Teclado Ultra","Producto de alta calidad para uso profesional",1258.19,Computadoras,490
"Teclado Ultra","Producto de alta calidad para uso profesional",963.56,Almacenamiento,353
"Tablet Gaming","Producto de alta calidad para uso profesional",405.96,Audio,39
"Webcam Premium","Producto de alta calidad para uso profesional",940.57,Audio,254
"Router Lite","Producto de alta calidad para uso profesional",1991.09,Computadoras,437
"SSD Office","Producto de alta calidad para uso profesional",64.78,Almacenamiento,267
"Webcam Premium","Producto de alta calidad para uso profesional",1969.05,Almacenamiento,325
"SSD Gaming","Producto de alta calidad para uso profesional",704.61,Almacenamiento,289
"Mouse Elite","Producto de alta calidad para uso profesional",563.65,Perifericos,184
"SSD Office","Producto de alta calidad para uso profesional",433.63,Audio,370
"SSD Plus","Producto de alta calidad para uso profesional",1887.55,Almacenamiento,128
"Auriculares Elite","Producto de alta calidad para uso profesional",701.05,Audio,352
"SSD Lite","Producto de alta calidad para uso profesional",1659.46,Computadoras,266
"SSD Office","Producto de alta calidad para uso profesional",1964.83,Almacenamiento,311
"Laptop Elite","Producto de alta calidad para uso profesional",1578.29,Computadoras,128
"Webcam Premium","Producto de alta calidad para uso profesional",1528.36,Computadoras,71
"Webcam Elite","Producto de alta calidad para uso profesional",1138.85,Audio,142
"Impresora Smart","Producto de alta calidad para uso profesional",715.97,Audio,73
"Tablet Lite","Producto de alta calidad para uso profesional",1038.12,Computadoras,41
"Webcam Office","Producto de alta calidad para uso profesional",254.53,Almacenamiento,214
"Tablet Office","Producto de alta calidad para uso profesional",1876.41,Redes,305
"Teclado Elite","Producto de alta calidad para uso profesional",1750.38,Computadoras,412
"Laptop Plus","Producto de alta calidad para uso profesional",942.43,Computadoras,276
"Laptop Pro","Producto de alta calidad para uso profesional",1123.96,Audio,420
"Impresora Ultra","Producto de alta calidad para uso profesional",582.64,Perifericos,487
"Mouse Elite","Producto de alta calidad para uso profesional",134.47,Perifericos,87
"Laptop Lite","Producto de alta calidad para uso profesional",1754.19,Computadoras,197
"Impresora Pro","Producto de alta calidad para uso profesional",725.11,Redes,152
"Mouse Lite","Producto de alta calidad para uso profesional",1059.98,Redes,59
"Monitor Ultra","Producto de alta calidad para uso profesional",1504.95,Perifericos,332
"Mouse Elite","Producto de alta calidad para uso profesional",297.46,Audio,208
"Teclado Pro","Producto de alta calidad para uso profesional",36.91,Computadoras,183
"Impresora Smart","Producto de alta calidad para uso profesional",268.11,Audio,71
"Teclado Smart","Producto de alta calidad para uso profesional",1745.50,Almacenamiento,499
"Webcam Smart","Producto de alta calidad para uso profesional",637.63,Redes,266
"Mouse Office","Producto de alta calidad para uso profesional",953.43,Almacenamiento,82
"Webcam Pro","Producto de alta calidad para uso profesional",103.00,Computadoras,252
"Laptop Plus","Producto de alta calidad para uso profesional",1078.82,Almacenamiento,456
"Router Pro","Producto de alta calidad para uso profesional",548.11,Computadoras,383
"Impresora Ultra","Producto de alta calidad para uso profesional",1494.40,Almacenamiento,259
"Mouse Lite","Producto de alta calidad para uso profesional",36.91,Audio,252
"Auriculares Max","Producto de alta calidad para uso profesional",257.64,Redes,264
"Teclado Gaming","Producto de alta calidad para uso profesional",259.78,Redes,237
"SSD Max","Producto de alta calidad para uso profesional",1003.73,Computadoras,383
"Impresora Pro","Producto de alta calidad para uso profesional",1824.33,Almacenamiento,379
"Router Ultra","Producto de alta calidad para uso profesional",1087.16,Computadoras,431
"Monitor Plus","Producto de alta calidad para uso profesional",124.68,Redes,9
"Teclado Gaming","Producto de alta calidad para uso profesional",39.87,Redes,312
"Mouse Ultra","Producto de alta calidad para uso profesional",889.60,Audio,312
"Mouse Ultra","Producto de alta calidad para uso profesional",1782.65,Perifericos,486
"Webcam Max","Producto de alta calidad para uso profesional",810.62,Computadoras,151
"Laptop Premium","Producto de alta calidad para uso profesional",1008.85,Audio,499
"Webcam Plus","Producto de alta calidad para uso profesional",517.80,Computadoras,274
"Teclado Office","Producto de alta calidad para uso profesional",847.81,Almacenamiento,277
"Monitor Ultra","Producto de alta calidad para uso profesional",646.32,Almacenamiento,432
"Laptop Lite","Producto de alta calidad para uso profesional",1306.16,Redes,213
"Auriculares Premium","Producto de alta calidad para uso profesional",1889.76,Perifericos,88
"Laptop Ultra","Producto de alta calidad para uso profesional",1753.74,Redes,24
"Tablet Pro","Producto de alta calidad para uso profesional",1250.15,Computadoras,139
"Webcam Premium","Producto de alta calidad para uso profesional",413.78,Almacenamiento,97
"Teclado Premium","Producto de alta calidad para uso profesional",1795.32,Almacenamiento,415
"Laptop Premium","Producto de alta calidad para uso profesional",423.54,Almacenamiento,464
"SSD Smart","Producto de alta calidad para uso profesional",1016.66,Almacenamiento,430
"Impresora Max","Producto de alta calidad para uso profesional",626.49,Almacenamiento,151
"Tablet Office","Producto de alta calidad para uso profesional",1877.12,Computadoras,437
"Laptop Elite","Producto de alta calidad para uso profesional",74.90,Redes,334
"Router Elite","Producto de alta calidad para uso profesional",1776.52,Almacenamiento,488
"Impresora Elite","Producto de alta calidad para uso profesional",1185.78,Computadoras,349
"Mouse Lite","Producto de alta calidad para uso profesional",1978.11,Almacenamiento,328
"Laptop Plus","Producto de alta calidad para uso profesional",511.21,Perifericos,81
"Teclado Elite","Producto de alta calidad para uso profesional",1864.94,Redes,405
"Mouse Plus","Producto de alta calidad para uso profesional",1909.96,Audio,296
"Laptop Pro","Producto de alta calidad para uso profesional",1162.28,Almacenamiento,462
"Router Elite","Producto de alta calidad para uso profesional",1722.35,Audio,299
"SSD Pro","Producto de alta calidad para uso profesional",1912.93,Perifericos,278
"Teclado Pro","Producto de alta calidad para uso profesional",1146.44,Computadoras,378
"Laptop Lite","Producto de alta calidad para uso profesional",67.52,Audio,121
"Mouse Max","Producto de alta calidad para uso profesional",387.63,Audio,415
"Auriculares Premium","Producto de alta calidad para uso profesional",953.62,Computadoras,37
"Router Gaming","Producto de alta calidad para uso profesional",1496.00,Almacenamiento,155
"Mouse Pro","Producto de alta calidad para uso profesional",863.34,Computadoras,171
"Mouse Plus","Producto de alta calidad para uso profesional",1266.76,Audio,39
"Auriculares Pro","Producto de alta calidad para uso profesional",952.99,Perifericos,353
"SSD Gaming","Producto de alta calidad para uso profesional",1888.82,Almacenamiento,75
